symbol,date,requested,status,regular_bars,expected_bars,missing_bars,duplicate_bars,unexpected_bars,ignored_outside_session_bars,invalid_ohlcv,missing_timestamps
SPY,2026-07-27,False,complete,78,78,0,0,0,0,False,
SPY,2026-07-28,False,complete,78,78,0,0,0,0,False,
SPY,2026-07-29,False,complete,78,78,0,0,0,0,False,
SPY,2026-07-30,False,complete,78,78,0,0,0,0,False,
SPY,2026-07-31,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-03,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-04,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-05,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-06,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-07,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-10,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-11,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-12,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-13,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-14,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-17,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-18,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-19,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-20,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-21,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-24,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-25,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-26,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-27,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-28,False,complete,78,78,0,0,0,0,False,
SPY,2026-08-31,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-01,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-02,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-03,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-04,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-08,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-09,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-10,True,complete,78,78,0,0,0,0,False,
SPY,2026-09-11,True,complete,78,78,0,0,0,0,False,
QQQ,2026-07-27,False,complete,78,78,0,0,0,0,False,
QQQ,2026-07-28,False,complete,78,78,0,0,0,0,False,
QQQ,2026-07-29,False,complete,78,78,0,0,0,0,False,
QQQ,2026-07-30,False,complete,78,78,0,0,0,0,False,
QQQ,2026-07-31,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-03,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-04,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-05,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-06,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-07,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-10,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-11,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-12,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-13,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-14,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-17,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-18,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-19,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-20,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-21,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-24,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-25,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-26,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-27,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-28,False,complete,78,78,0,0,0,0,False,
QQQ,2026-08-31,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-01,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-02,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-03,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-04,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-08,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-09,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-10,True,complete,78,78,0,0,0,0,False,
QQQ,2026-09-11,True,complete,78,78,0,0,0,0,False,
IWM,2026-07-27,False,complete,78,78,0,0,0,0,False,
IWM,2026-07-28,False,complete,78,78,0,0,0,0,False,
IWM,2026-07-29,False,complete,78,78,0,0,0,0,False,
IWM,2026-07-30,False,complete,78,78,0,0,0,0,False,
IWM,2026-07-31,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-03,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-04,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-05,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-06,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-07,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-10,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-11,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-12,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-13,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-14,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-17,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-18,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-19,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-20,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-21,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-24,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-25,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-26,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-27,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-28,False,complete,78,78,0,0,0,0,False,
IWM,2026-08-31,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-01,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-02,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-03,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-04,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-08,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-09,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-10,True,complete,78,78,0,0,0,0,False,
IWM,2026-09-11,True,complete,78,78,0,0,0,0,False,
XLK,2026-07-27,False,complete,78,78,0,0,0,0,False,
XLK,2026-07-28,False,complete,78,78,0,0,0,0,False,
XLK,2026-07-29,False,complete,78,78,0,0,0,0,False,
XLK,2026-07-30,False,complete,78,78,0,0,0,0,False,
XLK,2026-07-31,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-03,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-04,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-05,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-06,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-07,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-10,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-11,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-12,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-13,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-14,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-17,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-18,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-19,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-20,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-21,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-24,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-25,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-26,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-27,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-28,False,complete,78,78,0,0,0,0,False,
XLK,2026-08-31,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-01,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-02,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-03,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-04,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-08,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-09,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-10,True,complete,78,78,0,0,0,0,False,
XLK,2026-09-11,True,complete,78,78,0,0,0,0,False,
SOXX,2026-07-27,False,complete,78,78,0,0,0,0,False,
SOXX,2026-07-28,False,complete,78,78,0,0,0,0,False,
SOXX,2026-07-29,False,complete,78,78,0,0,0,0,False,
SOXX,2026-07-30,False,complete,78,78,0,0,0,0,False,
SOXX,2026-07-31,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-03,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-04,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-05,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-06,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-07,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-10,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-11,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-12,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-13,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-14,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-17,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-18,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-19,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-20,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-21,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-24,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-25,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-26,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-27,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-28,False,complete,78,78,0,0,0,0,False,
SOXX,2026-08-31,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-01,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-02,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-03,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-04,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-08,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-09,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-10,True,complete,78,78,0,0,0,0,False,
SOXX,2026-09-11,True,complete,78,78,0,0,0,0,False,
AAPL,2026-07-27,False,complete,78,78,0,0,0,0,False,
AAPL,2026-07-28,False,complete,78,78,0,0,0,0,False,
AAPL,2026-07-29,False,complete,78,78,0,0,0,0,False,
AAPL,2026-07-30,False,complete,78,78,0,0,0,0,False,
AAPL,2026-07-31,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-03,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-04,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-05,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-06,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-07,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-10,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-11,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-12,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-13,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-14,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-17,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-18,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-19,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-20,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-21,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-24,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-25,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-26,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-27,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-28,False,complete,78,78,0,0,0,0,False,
AAPL,2026-08-31,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-01,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-02,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-03,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-04,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-08,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-09,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-10,True,complete,78,78,0,0,0,0,False,
AAPL,2026-09-11,True,complete,78,78,0,0,0,0,False,
MSFT,2026-07-27,False,complete,78,78,0,0,0,0,False,
MSFT,2026-07-28,False,complete,78,78,0,0,0,0,False,
MSFT,2026-07-29,False,complete,78,78,0,0,0,0,False,
MSFT,2026-07-30,False,complete,78,78,0,0,0,0,False,
MSFT,2026-07-31,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-03,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-04,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-05,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-06,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-07,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-10,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-11,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-12,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-13,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-14,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-17,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-18,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-19,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-20,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-21,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-24,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-25,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-26,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-27,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-28,False,complete,78,78,0,0,0,0,False,
MSFT,2026-08-31,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-01,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-02,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-03,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-04,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-08,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-09,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-10,True,complete,78,78,0,0,0,0,False,
MSFT,2026-09-11,True,complete,78,78,0,0,0,0,False,
