date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,MSTR_shares,MSTR_price,MSTR_weight,MSTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-08-31,2026-08-31T09:30:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1486.2049560546875,0.0,0.0,0,347.1499938964844,0.0,0.0,0,128.56500244140625,0.0,0.0,0,218.86199951171875,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,bar_close,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.219970703125,0.0,0.0,0,352.55999755859375,0.0,0.0,0,127.17990112304688,0.0,0.0,0,217.1699981689453,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.385009765625,0.0,0.0,0,352.40008544921875,0.0,0.0,0,127.1449966430664,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,30211.412695556646,99965.1231447754,69753.71044921875,69753.71044921875,0.6977804683759286,0.6977804683759286,34.87685522460937,69753.71044921875,-0.0003487685522460815,46,1516.385009765625,0.6977804683759286,-34.87685522460379,0,352.40008544921875,0.0,0.0,0,127.1449966430664,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,23469.358531063088,99961.75380236436,76492.39527130127,76492.39527130127,0.7652166189734461,0.7652166189734461,38.24619763565063,76492.39527130127,-0.00038246197635638524,46,1516.385009765625,0.6978039879845415,-34.87685522460379,0,352.40008544921875,0.0,0.0,53,127.1449966430664,0.0674126309889046,-3.369342411040634,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,41482.96717042924,99952.74249238969,94515.01522064209,58469.77532196045,0.9455970177890655,0.5849741974454806,47.25750761032104,94515.01522064209,-0.0004725750761030989,46,1516.385009765625,0.6978668989950899,-34.87685522460379,0,352.40008544921875,0.0,0.0,53,127.1449966430664,0.06741870862218309,-3.369342411040634,-83,217.13999938964844,-0.1803114101717924,-9.01130997467044
2026-08-31,2026-08-31T09:40:00-04:00,bar_close,41482.96717042924,99729.35300416948,94239.33532714844,58246.385833740234,0.9449508343166378,0.58404455738628,47.25750761032104,94515.01522064209,-0.0027064699583052576,46,1510.89697265625,0.6968987429336055,-287.3265622558538,0,353.67999267578125,0.0,0.0,53,127.19999694824219,0.06759895291785342,-0.4543262367242278,-83,216.8249969482422,-0.1804531384651789,17.13389266204831
2026-08-31,2026-08-31T09:40:00-04:00,open_before_orders,41482.96717042924,99752.49377412797,94264.7836227417,58269.52660369873,0.9449867372357404,0.5841410515073423,47.25750761032104,94515.01522064209,-0.0024750622587202953,46,1511.5,0.6970151559061393,-259.5873044433538,0,353.82000732421875,0.0,0.0,53,127.13500213623047,0.06754873846540203,-3.8990512733453215,-83,216.83889770507812,-0.18042284286419905,15.980129844665498
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,74719.34067042924,99735.86727412797,61011.7836227417,25016.52660369873,0.6117336249260098,0.2508277843009057,63.88400761032104,127768.01522064209,-0.0026413272587202385,24,1511.5,0.36372070541377033,-276.2138044433523,0,353.82000732421875,0.0,0.0,53,127.13500213623047,0.0675599991996874,-3.8990512733453215,-83,216.83889770507812,-0.18045292031255206,15.980129844665498
2026-08-31,2026-08-31T09:45:00-04:00,bar_close,74719.34067042924,100002.9577816353,61480.74589538574,25283.617111206055,0.6147892748295908,0.2528286929914105,63.88400761032104,127768.01522064209,0.0,24,1528.06005859375,0.3667235671801776,121.22760180664773,0,355.82000732421875,0.0,0.0,53,126.58000183105469,0.06708541673032298,-33.31406744766173,-83,218.05499267578125,-0.18098029091909013,-84.95575272369388
2026-08-31,2026-08-31T09:45:00-04:00,open_before_orders,74719.34067042924,100057.30605586625,61539.24568939209,25337.96538543701,0.6150400017269314,0.2532345351301958,63.88400761032104,127768.01522064209,0.0,24,1530.4000244140625,0.36708564355540213,177.38678149414773,0,355.82000732421875,0.0,0.0,53,126.58499908447266,0.06705162487316146,-33.049213016509384,-83,218.0800018310547,-0.18090273329836784,-87.03151261138919
