date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,MSTR_shares,MSTR_price,MSTR_weight,MSTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-09-08,2026-09-08T09:30:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1769.4300537109375,0.0,0.0,0,357.2699890136719,0.0,0.0,0,137.61500549316406,0.0,0.0,0,233.2100067138672,0.0,0.0
2026-09-08,2026-09-08T09:35:00-04:00,bar_close,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1773.510009765625,0.0,0.0,0,361.364990234375,0.0,0.0,0,136.63999938964844,0.0,0.0,0,231.83999633789062,0.0,0.0
2026-09-08,2026-09-08T09:35:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1772.8199462890625,0.0,0.0,0,361.489990234375,0.0,0.0,0,136.63999938964844,0.0,0.0,0,231.80999755859375,0.0,0.0
2026-09-08,2026-09-08T09:35:00-04:00,after_fill,30026.328376562495,99986.0080640625,69959.6796875,69959.6796875,0.6996946977088615,0.6996946977088615,13.9919359375,69959.6796875,-0.0001399193593750736,0,1772.8199462890625,0.0,0.0,0,361.489990234375,0.0,0.0,512,136.63999938964844,0.6996946977088615,-13.991935937505332,0,231.80999755859375,0.0,0.0
2026-09-08,2026-09-08T09:35:00-04:00,after_fill,54825.037381384274,99981.04733011474,94763.34942626953,45156.00994873047,0.947813130156383,0.45164569840557445,18.952669885253904,94763.34942626953,-0.00018952669885252682,0,1772.8199462890625,0.0,0.0,0,361.489990234375,0.0,0.0,512,136.63999938964844,0.6997294142809787,-13.991935937505332,-107,231.80999755859375,-0.24808371587540426,-4.960733947751578
2026-09-08,2026-09-08T09:40:00-04:00,bar_close,54825.037381384274,99883.91451761474,94452.21661376953,45058.87713623047,0.9456198935526569,0.4511124474229956,18.952669885253904,94763.34942626953,-0.0011608548238525307,0,1783.0,0.0,0.0,0,359.3299865722656,0.0,0.0,512,136.24130249023438,0.6983661704878262,-218.12474843750533,-107,230.80999755859375,-0.24725372306483062,102.03926605224842
2026-09-08,2026-09-08T09:40:00-04:00,open_before_orders,54825.037381384274,99949.1096164917,94518.80276489258,45124.07223510742,0.9456692823734458,0.45147047740845414,18.952669885253904,94763.34942626953,-0.0005089038350830632,0,1782.3900146484375,0.0,0.0,0,359.3349914550781,0.0,0.0,512,136.3699951171875,0.69856987989095,-152.23412343750533,-107,230.81649780273438,-0.24709940248249584,101.34373992920155
2026-09-08,2026-09-08T09:40:00-04:00,after_fill,30122.732643438718,99944.17014343872,69821.4375,69821.4375,0.6986044048371514,0.6986044048371514,23.892142938232418,119460.71469116211,-0.0005582985656127359,0,1782.3900146484375,0.0,0.0,0,359.3349914550781,0.0,0.0,512,136.3699951171875,0.6986044048371514,-152.23412343750533,0,230.81649780273438,0.0,96.40426687622312
2026-09-08,2026-09-08T09:40:00-04:00,after_fill,55071.20215647583,99939.17945139771,94774.89770507812,44867.977294921875,0.9483257539768868,0.44895282852249163,28.88283497924804,144414.17489624023,-0.0006082054860229169,-14,1782.3900146484375,-0.24968646272719758,-4.990692041013972,0,359.3349914550781,0.0,0.0,512,136.3699951171875,0.6986392912496893,-152.23412343750533,0,230.81649780273438,0.0,96.40426687622312
2026-09-08,2026-09-08T09:45:00-04:00,bar_close,55071.20215647583,101003.22827952271,94765.56762695312,45932.026123046875,0.9382429575883744,0.4547580003673911,28.88283497924804,144414.17489624023,0.0,-14,1744.0550537109375,-0.24174247861049167,531.698761083986,0,357.6700134277344,0.0,0.0,512,137.39999389648438,0.6965004789778828,375.12525156249467,0,229.76499938964844,0.0,96.40426687622312
2026-09-08,2026-09-08T09:45:00-04:00,open_before_orders,55071.20215647583,101010.48340647583,94799.28125,45939.28125,0.9385093314375959,0.4547971626384159,28.88283497924804,144414.17489624023,0.0,-14,1745.0,-0.24185608439958997,518.469513037111,0,357.67999267578125,0.0,0.0,512,137.44000244140625,0.6966532470380059,395.60962656249467,0,229.77999877929688,0.0,96.40426687622312
2026-09-08,2026-09-08T09:45:00-04:00,after_fill,100279.91940753785,101001.43985431519,49581.520446777344,721.5204467773438,0.49089914478738017,0.007143664959807179,37.92638713989257,189631.9356994629,-8.9530827451334e-05,-14,1745.0,-0.2418777399137865,518.469513037111,0,357.67999267578125,0.0,0.0,183,137.44000244140625,0.24902140487359367,386.566074401846,0,229.77999877929688,0.0,96.40426687622312
2026-09-08,2026-09-08T09:45:00-04:00,after_fill,145640.84540753785,100992.3658543152,94951.52044677734,-44648.479553222656,0.9401851282873007,-0.44209757020277707,47.00038713989257,235001.9356994629,-0.0001793630873710983,-40,1745.0,-0.6911413492450389,509.3955130371032,0,357.67999267578125,0.0,0.0,183,137.44000244140625,0.24904377904226185,386.566074401846,0,229.77999877929688,0.0,96.40426687622312
2026-09-08,2026-09-08T09:50:00-04:00,bar_close,145640.84540753785,99965.03750043336,95984.33857727051,-45675.80790710449,0.9601790883823197,-0.4569178289650167,47.00038713989257,235001.9356994629,-0.010349875288047983,-40,1770.7518310546875,-0.7085484586736682,-520.6777291503968,0,358.4753112792969,0.0,0.0,183,137.4550018310547,0.2516306297086515,389.31096270751004,0,230.36880493164062,0.0,96.40426687622312
2026-09-08,2026-09-08T09:50:00-04:00,open_before_orders,145640.84540753785,99916.24976544801,96025.80474853516,-45724.595642089844,0.9610629399517534,-0.4576292219676748,47.00038713989257,235001.9356994629,-0.010832872035910546,-40,1771.8800048828125,-0.7093460809597141,-565.8046822753968,0,358.47711181640625,0.0,0.0,183,137.43499755859375,0.25171685899203927,385.6501808471585,0,230.3444061279297,0.0,96.40426687622312
2026-09-08,2026-09-08T09:50:00-04:00,after_fill,115512.86093251343,99910.2253734314,65903.84466552734,-15602.635559082031,0.6596306275879226,-0.1561665535310779,53.02477915649413,265123.8957824707,-0.010892513291089645,-23,1771.8800048828125,-0.40789859055950023,-571.8290742919999,0,358.47711181640625,0.0,0.0,183,137.43499755859375,0.25173203702842234,385.6501808471585,0,230.3444061279297,0.0,96.40426687622312
2026-09-08,2026-09-08T09:50:00-04:00,after_fill,87058.1266289856,99904.53556453247,94352.88916015625,12846.408935546875,0.9444304868342019,0.12858684406023635,58.71458805541991,293572.9402770996,-0.010948842185943386,-23,1771.8800048828125,-0.4079218213869828,-571.8290742919999,0,358.47711181640625,0.0,0.0,390,137.43499755859375,0.5365086654472192,379.96037194823293,0,230.3444061279297,0.0,96.40426687622312
2026-09-08,2026-09-08T09:55:00-04:00,bar_close,87058.1266289856,99785.17679988404,94374.74792480469,12727.050170898438,0.9457792324612523,0.1275444968787511,58.71458805541991,293572.9402770996,-0.012130489482572226,-23,1774.949951171875,-0.40911736779125063,-642.4378389404374,0,358.6700134277344,0.0,0.0,390,137.30999755859375,0.5366618646700018,331.21037194823293,0,229.64500427246094,0.0,96.40426687622312
2026-09-08,2026-09-08T09:55:00-04:00,open_before_orders,87058.1266289856,99801.4986992981,94366.23364257812,12743.3720703125,0.9455392441240144,0.12768718141907145,58.71458805541991,293572.9402770996,-0.011968903290093813,-23,1774.4100341796875,-0.40892603135247146,-630.0197481201249,0,358.67999267578125,0.0,0.0,390,137.32000732421875,0.536613212771543,335.11418054198293,0,229.6699981689453,0.0,96.40426687622312
