date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-08,2026-09-08T09:35:00-04:00,2026-09-08T09:35:00-04:00,MSTR,512,buy,136.63999938964844,136.70831938934325,34.97983984375,0.0,34.97983984375,69959.6796875,512,30005.34047265626,99965.02016015626,0.6998416003459609,0.6998416003459609,policy_rebalance
2026-09-08,2026-09-08T09:35:00-04:00,2026-09-08T09:35:00-04:00,NVDA,-107,sell,231.80999755859375,231.69409255981446,12.401834869384766,0.0,12.401834869384766,24803.66973876953,-107,54796.60837655641,99952.61832528688,0.9480827117291781,0.45177415764911993,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,NVDA,107,buy,230.81649780273438,230.93190605163574,12.34868263244629,0.0,12.34868263244629,24697.365264892578,0,30086.89442903139,99908.33192903138,0.6988550018991087,0.6988550018991087,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,SNDK,-14,sell,1782.3900146484375,1781.4988196411134,12.476730102539063,0.0,12.476730102539063,24953.460205078125,-14,55027.87790400698,99895.85519892885,0.9487370373510188,0.4491475367578912,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,MSTR,-149,sell,137.44000244140625,137.37128244018555,10.239280181884766,0.0,10.239280181884766,20478.56036376953,363,75496.19898759463,100956.9198738251,0.7361627214768015,0.25219391516748935,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,SNDK,-12,sell,1745.0,1744.1275,10.47,0.0,10.47,20940.0,-26,96425.72898759463,100946.4498738251,0.9436757905334825,0.04478335683801664,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,MSTR,-181,sell,137.43499755859375,137.36628005981447,12.437867279052734,0.0,12.437867279052734,24875.73455810547,182,121289.02567842105,100233.31510713199,0.7091659056336991,-0.21006698769549992,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,SNDK,-13,sell,1771.8800048828125,1770.9940648803713,11.517220031738281,0.0,11.517220031738281,23034.440063476562,-39,144311.94852186588,100221.79788710026,0.9390820333528228,-0.4399257603064867,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,MSTR,-182,sell,137.32000732421875,137.25134732055665,12.496120666503906,0.0,12.496120666503906,24992.241333007812,0,169291.6937342072,100089.70240119938,0.6913997111872576,-0.6913997111872576,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,TSLA,69,buy,358.67999267578125,358.85933267211914,12.374459747314454,0.0,12.374459747314454,24748.919494628906,69,144530.39977983097,100077.32794145207,0.9387831665789532,-0.44418723753680905,policy_rebalance
