date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,MSTR_shares,MSTR_price,MSTR_weight,MSTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-08-31,2026-08-31T09:30:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1486.2049560546875,0.0,0.0,0,347.1499938964844,0.0,0.0,0,128.56500244140625,0.0,0.0,0,218.86199951171875,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,bar_close,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.219970703125,0.0,0.0,0,352.55999755859375,0.0,0.0,0,127.17990112304688,0.0,0.0,0,217.1699981689453,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,open_before_orders,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.385009765625,0.0,0.0,0,352.40008544921875,0.0,0.0,0,127.1449966430664,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,30211.412695556646,99965.1231447754,69753.71044921875,69753.71044921875,0.6977804683759286,0.6977804683759286,34.87685522460937,69753.71044921875,-0.0003487685522460815,46,1516.385009765625,0.6977804683759286,-34.87685522460379,0,352.40008544921875,0.0,0.0,0,127.1449966430664,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,5278.533143844612,99952.66293510438,94674.12979125977,94674.12979125977,0.9471896697012288,0.9471896697012288,47.33706489562988,94674.12979125977,-0.00047337064895613956,46,1516.385009765625,0.6978674544619916,-34.87685522460379,0,352.40008544921875,0.0,0.0,196,127.1449966430664,0.24932221523923714,-12.460209671018674,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:40:00-04:00,bar_close,5278.533143844612,99710.99328788758,94432.46014404297,94432.46014404297,0.9470616732439489,0.9470616732439489,47.33706489562988,94674.12979125977,-0.0028900671211241624,46,1510.89697265625,0.6970270624175016,-287.3265622558538,0,353.67999267578125,0.0,0.0,196,127.19999694824219,0.2500346108264473,-1.6801498565655493,0,216.8249969482422,0.0,0.0
2026-08-31,2026-08-31T09:40:00-04:00,open_before_orders,5278.533143844612,99725.99356254579,94447.46041870117,94447.46041870117,0.9470696359567072,0.9470696359567072,47.33706489562988,94674.12979125977,-0.002740064374542106,46,1511.5,0.6972003739064585,-259.5873044433538,0,353.82000732421875,0.0,0.0,196,127.13500213623047,0.24986926205024873,-14.419133010862424,0,216.83889770507812,0.0,0.0
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,12832.254393844612,99722.21481254579,86889.96041870117,86889.96041870117,0.8713200020881383,0.8713200020881383,51.11581489562988,102231.62979125977,-0.0027778518745420477,41,1511.5,0.6214412718017924,-263.36605444335146,0,353.82000732421875,0.0,0.0,196,127.13500213623047,0.24987873028634586,-14.419133010862424,0,216.83889770507812,0.0,0.0
2026-08-31,2026-08-31T09:45:00-04:00,bar_close,12832.254393844612,100292.39715507509,87460.14276123047,87460.14276123047,0.8720515736202515,0.8720515736202515,51.11581489562988,102231.62979125977,0.0,41,1528.06005859375,0.6246780830801336,415.59634790039854,0,355.82000732421875,0.0,0.0,196,126.58000183105469,0.24737349054011795,-123.19919282531555,0,218.05499267578125,0.0,0.0
2026-08-31,2026-08-31T09:45:00-04:00,open_before_orders,12832.254393844612,100389.31521537782,87557.0608215332,87557.0608215332,0.8721750978546475,0.8721750978546475,51.11581489562988,102231.62979125977,0.0,41,1530.4000244140625,0.6250306705086972,511.53494653321104,0,355.82000732421875,0.0,0.0,196,126.58499908447266,0.24714442734595024,-122.21973115539367,0,218.0800018310547,0.0,0.0
2026-08-31,2026-08-31T09:45:00-04:00,after_fill,49543.49017948914,100370.95041508484,50827.4602355957,50827.4602355957,0.5063961238326263,0.5063961238326263,69.48061518859863,138961.23037719727,-0.0001829358060027042,17,1530.4000244140625,0.25920647664933316,493.1701462402416,0,355.82000732421875,0.0,0.0,196,126.58499908447266,0.24718964718329323,-122.21973115539367,0,218.0800018310547,0.0,0.0
