bar_open,available_at,open,high,low,close,volume,a158_kmid,a158_klen,a158_kmid2,a158_kup,a158_klow,a158_ksft,a158_roc_5,a158_ma_5,a158_std_5,a158_rsv_5,a158_vma_5,a158_corr_5,a158_roc_20,a158_ma_20,a158_std_20,a158_rsv_20,a158_vma_20,a158_corr_20,a101_002,a101_003,a101_004,a101_006,a101_012,a101_101,xs_return_rank,xs_peer_return,xs_peer_residual,xs_group_residual,xs_market_beta,xs_market_residual,xs_peer_count,seasonal_rvol,momentum_1,SPY_return_1,SPY_relative_1,QQQ_return_1,QQQ_relative_1,SOXX_return_1,SOXX_relative_1,momentum_3,SPY_return_3,SPY_relative_3,QQQ_return_3,QQQ_relative_3,SOXX_return_3,SOXX_relative_3,momentum_12,SPY_return_12,SPY_relative_12,QQQ_return_12,QQQ_relative_12,SOXX_return_12,SOXX_relative_12,trend_efficiency_12,volume_x_return,volume_x_efficiency,overnight_gap,session_fraction,target_weight,calibrated_forecast_5m_bps,calibrated_forecast_15m_bps,calibrated_forecast_30m_bps,calibrated_forecast_60m_bps,raw_forecast_5m_bps,raw_forecast_15m_bps,raw_forecast_30m_bps,raw_forecast_60m_bps,marked_shares,marked_weight,marked_pnl
2026-09-15 09:30:00-04:00,2026-09-15 09:35:00-04:00,1569.7099609375,1579.989990234375,1555.550048828125,1572.280029296875,569439.0,0.0016372886860194,0.0155697179825841,0.1051585319561222,0.0049117105257427,0.0090207187708218,0.0057462969310985,,,,,,,,,,,,,,,,,,0.1051542293996002,,,,,,,0,-0.5747684554764749,,,,,,,,,,,,,,,,,,,,,,,,,0.0119261740614526,0.0,-1.20307659334306e-10,5.39428713645468,21.94675983551145,28.74117431157126,20.872449051921564,-18.092179047361828,12.914218019837255,-9.583687591484047,-8.388335314447508,0,0.0,0.0
2026-09-15 09:35:00-04:00,2026-09-15 09:40:00-04:00,1572.5400390625,1578.4814453125,1550.010009765625,1550.2587890625,275354.0,-0.0141689556046429,0.0181053803652902,-0.7825825980328831,0.0037782225586714,0.0001582022019759,-0.0177889759613384,,,,,,,,,,,,,,,,,-22.021240234375,-0.7825551124110098,0.25,0.0100404996584864,-0.0240464272439325,-0.0126449499298072,,,3,-0.3090027713517488,-0.014005927585446,0.0011727384552777,-0.0151786660407238,0.0015539011956122,-0.0155598287810583,-0.0045930797372089,-0.0094128478482371,,,,,,,,,,,,,,,,0.0043278704392547,,0.0119261740614526,0.0128205128205128,-0.17452771233008751,-6.47422120012519,-23.17643491710602,-40.064289255710065,-56.91198767224392,-1.6467656359388487,-44.618422686049534,-42.14503778624645,-39.91844328337647,0,0.0,0.0
2026-09-15 09:40:00-04:00,2026-09-15 09:45:00-04:00,1550.6199951171875,1557.849853515625,1546.1500244140625,1549.6700439453125,195439.0,-0.0006126266750502,0.0075452587599828,-0.0811935938233537,0.0046625597639679,0.0022700723209647,-0.0030051141180533,,,,,,,,,,,,,,,,,-0.5887451171875,-0.0811866546916872,0.5,0.000650950792633,-0.0010307229450899,-0.0014145709961116,,,3,-0.4344336573887247,-0.0003797721524568,0.0001842758701351,-0.000564048022592,0.0002327838120208,-0.0006125559644777,0.0032559723916558,-0.0036357445441127,,,,,,,,,,,,,,,,0.0001649858051662,,0.0119261740614526,0.0256410256410256,-0.1941888031978734,-3.4438339514407357,-13.623583443489983,-26.37600031454215,-26.643346450721648,0.6697265316751648,-15.299358516384403,26.454948377255224,21.381558612956443,-5,-0.1637473761129401,0.8732058715831954
2026-09-15 09:45:00-04:00,2026-09-15 09:50:00-04:00,1550.1600341796875,1565.0999755859375,1550.0899658203125,1564.5050048828125,193643.0,0.0092538643667949,0.009682877531782,0.955693628925946,0.0003838124387201,4.520072626700038e-05,0.0089152526543417,,,,,,,,,,,,,,,,,14.8349609375,0.955629962747395,1.0,-0.000294352809551,0.0098673331968674,0.0083540512766282,,,3,-0.4169479032474902,0.0095729803873163,-0.000789573802823,0.0103625541901394,-0.0002327296363289,0.0098057100236452,0.0009755903123445,0.0085973900749718,-0.0049450633915,0.0005665849963949,-0.0055116483878949,0.0015539011956122,-0.0064989645871122,-0.0003777910328938,-0.0045672723586062,,,,,,,,,-0.0039914341003209,,0.0119261740614526,0.0384615384615384,-0.16562530322191735,-0.9222841484282207,-5.801886010272188,-21.37927330069274,-22.703495581804816,-19.41585506355341,-26.01165345502368,22.52256238166956,23.12251018967656,-5,-0.1656253037589714,-73.3015988159168
2026-09-15 09:50:00-04:00,2026-09-15 09:55:00-04:00,1564.4100341796875,1565.43994140625,1551.81005859375,1555.5401611328125,114869.0,-0.0056697878772722,0.0087124746803653,-0.6507666403954527,0.0006583358608426,0.0023843509422505,-0.0039437727958643,,1.00187114714488,0.0062706673756565,0.2774865899277379,2.348316778243042,0.5853499625091132,,,,,,,,,,,-8.96484375,-0.6507188983197049,0.25,-7.642858900895148e-05,-0.0056537184683803,-0.0042354902411683,,,3,-0.6491932091252093,-0.0057301470573892,0.0004346047283259,-0.0061647517857151,7.059272405962602e-06,-0.0057372063297952,0.00190957948702,-0.0076397265444093,0.0034067680232319,-0.0001711018323399,0.0035778698555718,7.059272405962602e-06,0.0033997087508259,0.0061524052572505,-0.0027456372340186,,,,,,,,,0.0037199725569459,,0.0119261740614526,0.0512820512820512,-0.29329302807065794,-5.510051648294331,-21.954892293928577,-41.26040929092866,-39.90330609490979,3.4047278446429643,-17.80921806159151,39.23720451410102,15.470649500129394,-4,-0.1316617455561312,-38.12945812988164
2026-09-15 09:55:00-04:00,2026-09-15 10:00:00-04:00,1556.4300537109375,1561.9300537109375,1549.0,1557.39501953125,125708.0,0.0006199866277394,0.0083075070929842,0.0746296838269251,0.0029137410761728,0.004773779389072,0.0024800249406385,1.009557632828507,0.9987663914445476,0.0038810828297852,0.3478039258624292,1.4398654023610271,-0.3180708966091004,,,,,,,,,,,-1.8548583984375,0.0746239124732968,1.0,-0.0017143287317823,0.0029067495028968,0.0011961415405352,,,3,-0.5383838587845616,0.0011924207711144,-0.000171131113187,0.0013635518843014,-4.932846993077611e-05,0.0012417492410452,-0.0002084792213286,0.001400899992443,0.00498491638018,-0.0005263825352154,0.0055112989153954,-0.0002749893447008,0.0052599057248808,0.002677951658941,0.002306964721239,,,,,,,,,-0.0006419800960474,,0.0119261740614526,0.0641025641025641,-0.2537327802557526,-2.617605971392286,-10.528244972962254,-22.554146669642364,-24.6147962122109,-4.098336786183152,-17.71719213087375,18.289853596529476,16.91517133499465,-8,-0.2638067016735885,-52.52161511230224
2026-09-15 10:00:00-04:00,2026-09-15 10:05:00-04:00,1557.0,1564.0,1556.1300048828125,1559.2349853515625,102321.0,0.0014354433857177,0.0050545890283798,0.2839881497106866,0.0030603819193561,0.000558763723306,-0.0010661748103323,0.9942432049220352,0.9987391622165472,0.0034681882625079,0.6783316352682486,1.4307522404980404,-0.0727919632976594,,,,,,,,,,,1.8399658203125,0.2839520693745666,0.75,-0.001943642236666,0.0031250803414741,0.0032212859762911,,,3,-0.585337075475655,0.001181438104808,-0.0009478911390902,0.0021293292438983,-0.0010720216553194,0.0022534597601275,0.0004467997159824,0.0007346383888255,-0.0033684900430501,-0.0006847415721485,-0.0026837484709015,-0.0011142458871989,-0.0022542441558511,0.0021482617472707,-0.0055167517903209,,,,,,,,,-0.0006915395251238,,0.0119261740614526,0.0769230769230769,-0.23144038294588395,-3.841757284904661,-16.539607956317845,-36.00451938298771,-40.4408447202238,-13.467032680365168,-41.16160478412967,8.078675278332321,17.423327591680966,-7,-0.2314403753384432,-65.78485632324009
2026-09-15 10:05:00-04:00,2026-09-15 10:10:00-04:00,1559.2550048828125,1568.0,1558.0,1565.0,100644.0,0.0036844487266015,0.0064133191611923,0.5744995117186925,0.0019239957483577,0.0008048746862331,0.0025653276644769,0.9902045009235224,0.9970191911691294,0.0027108614499657,0.8421052631578505,1.2662155717181351,0.3140920551553157,,,,,,,-0.7499999999999999,,,,5.7650146484375,0.5744420675119988,1.0,-0.001111511088506,0.0048088464501401,0.0022642001395756,,,3,-0.5171506881912438,0.003697335361634,-0.0004217114729408,0.0041190468345749,-0.000564854647317,0.0042621900089511,-0.0006550297428569,0.0043523651044909,0.0060813851699581,-0.0015400996754374,0.0076214848453955,-0.0016855185214199,0.0077669036913781,-0.0004169584426572,0.0064983436126153,,,,,,,,,-0.0019120795267428,,0.0119261740614526,0.0897435897435897,-0.1720640256133164,-0.5991129586465636,-3.8482501972264886,-15.605746906901896,-19.703392941065136,-17.93682426554883,-28.62419085740595,6.180155850268757,22.49070932859431,-7,-0.2328749016392663,-106.1399588623026
2026-09-15 10:10:00-04:00,2026-09-15 10:15:00-04:00,1565.0250244140625,1567.199951171875,1558.170654296875,1559.2900390625,122090.0,-0.0036644687861842,0.0057694265166018,-0.6351530391519954,0.0013897073362304,0.0007152503941872,-0.0043389257282274,1.003344448877162,1.0000012838875867,0.002273272646119,0.5415810032894453,0.926582029650258,-0.6416245879829948,,,,,,,0.0877058019307032,,-0.5555555555555556,,5.7099609375,-0.635082703364888,0.25,-0.0007187593248901,-0.0029297780153654,-0.0013963050836101,,,3,-0.4423307459654166,-0.0036485373402556,-0.0007119735475433,-0.0029365637927122,-0.0012221001444323,-0.0024264371958232,-0.0029990253576719,-0.0006495119825836,0.0012167879744602,-0.0020802015867774,0.0032969895612376,-0.0028563712239152,0.0040731591983754,-0.0032069226868024,0.0044237106612626,,,,,,,,,0.0016138602433979,,0.0119261740614526,0.1025641025641025,0.01760254328365667,2.9818374523712436,12.907475662859982,25.60896358847144,23.373857076917506,1.9846442969312057,1.5342753242575347,-5.115854333615007,58.38665087724287,-5,-0.1657100050007899,-79.20522802734195
2026-09-15 10:15:00-04:00,2026-09-15 10:20:00-04:00,1559.2750244140625,1565.449951171875,1558.8800048828125,1564.074951171875,76252.0,0.0030783067019342,0.004213462145032,0.7305884320245631,0.0008818200628312,0.0002533353802665,0.0024498220193695,0.9945432346239752,0.998033372923636,0.002132287829545,0.7934184827302214,1.382298169228348,-0.7566873512803856,,,,,,,-0.0647750275631293,,-0.5555555555555556,-0.4706922274180447,4.784912109375,0.7304772473642183,1.0,0.0001286821543455,0.0029399657491913,0.003115649910989,,,3,-0.5815137663267093,0.0030686479035368,0.0003167028758521,0.0027519450276847,0.0004455952849957,0.0026230526185411,0.001195218082008,0.0018734298215288,0.0031040644070856,-0.0008170408434358,0.0039211052505214,-0.0013414651488388,0.0044455295559244,-0.0024612376124935,0.0055653020195791,,,,,,,,,-0.0017844609999162,,0.0119261740614526,0.1153846153846153,0.18357927230947219,3.7271058936586563,15.86132302711917,28.97410496063318,30.610963590266728,4.495542983134025,20.732312731609458,17.96994390375644,52.31882925179682,0,0.0,-83.02834234618967
